Agency,Street Address,City,State,Zip,Counties Served,Program Type,Funding Source,Program Description,Contract Dates,Contract Number,Funding Level
"Jewish Board of Family and Children's Services, Inc.",120 West 57th Street,New York,NY,10019,KINGS,Kinship,State Aid to Localities and Temporary Assistance For Needy Families,"Programs which support relative caregivers and children by providing services directly or through referral including financial, legal, medical, mental health, housing, parent education, support groups, respite activities, youth development and educational advocacy.",12/1/13-8/31/15,C025936,177352
Lutheran Social Services Of Metro NY,"475 Riverside Drive, Ste 1244",New York,NY,10115,QUEENS,Kinship,State Aid to Localities and Temporary Assistance For Needy Families,"Programs which support relative caregivers and children by providing services directly or through referral including financial, legal, medical, mental health, housing, parent education, support groups, respite activities, youth development and educational advocacy.",12/1/13-8/31/15,C025938,177352
"The Children?'s Village, Inc.",Echo Hills - Wetmore Hall,Dobbs Ferry,NY,10522,BRONX,Kinship,State Aid to Localities and Temporary Assistance For Needy Families,"Programs which support relative caregivers and children by providing services directly or through referral including financial, legal, medical, mental health, housing, parent education, support groups, respite activities, youth development and educational advocacy.",12/1/13-8/31/15,C025935,177352
"The Neighborhood Center, Inc.",293 Genesee Street,Utica,NY,13501,HERKIMER,Kinship,State Aid to Localities and Temporary Assistance For Needy Families,"Programs which support relative caregivers and children by providing services directly or through referral including financial, legal, medical, mental health, housing, parent education, support groups, respite activities, youth development and educational advocacy.",12/1/13-8/31/15,C025941,177352
"The Neighborhood Center, Inc.",293 Genesee Street,Utica,NY,13501,ONEIDA,Kinship,State Aid to Localities and Temporary Assistance For Needy Families,"Programs which support relative caregivers and children by providing services directly or through referral including financial, legal, medical, mental health, housing, parent education, support groups, respite activities, youth development and educational advocacy.",12/1/13-8/31/15,C025941,177352
New York Council On Adoptable Children,589 8th Ave Fl 15,New York,NY,10018,NEW YORK,Post Adoption,Temporary Assistance For Needy Families,"Providing services to keep pre- and post- adoptive families including information and referral, advocacy, counseling, case management, support groups, respite, mentor programs, crisis intervention, and youth development.",5/1/12-10/31/13,C026533,425569
"The Family Center, Inc.","315 West 36th Street, 4th Floor",New York,NY,10018,NEW YORK,Prevention,Temporary Assistance For Needy Families,"Support for high need/low income families. Services: advocacy, information and referral, family support, after care, respite, support groups, intensive case management for substance abuse disorders, clinical services, and parent skills training.",5/1/12-10/31/13,C026501,420858
Association to Benefit Children,419 East 86th Street,New York,NY,10028,NEW YORK,Family Resource Center,Trust Fund/ Federal Community-Based Child Abuse Prevention Program,"Parent education classes, adult education classes, support groups, new child-parent psychotherapy and case management.",9/1/15-8/31/16,C026962,73500
"Child Care Coordinating Council Of The North Country, Inc.","194 US Oval, P. O. Box 2640",Plattsburgh,NY,12901,CLINTON,Family Resource Center,Trust Fund/ Federal Community-Based Child Abuse Prevention Program,"Parent Education/Child Assessment for 50 children,  home visiting for 30 families, child sexual abuse training for 100 community members and early Intervention Leadership circles for 50 families.",9/1/15-8/31/16,C026958,73500
"Child Care Coordinating Council Of The North Country, Inc.","194 US Oval, P. O. Box 2640",Plattsburgh,NY,12901,ESSEX,Family Resource Center,Trust Fund/ Federal Community-Based Child Abuse Prevention Program,"Parent Education/Child Assessment for 50 children,  home visiting for 30 families, child sexual abuse training for 100 community members and early Intervention Leadership circles for 50 families.",9/1/15-8/31/16,C026958,73500
"Child Care Coordinating Council Of The North Country, Inc.","194 US Oval, P. O. Box 2640",Plattsburgh,NY,12901,FRANKLIN,Family Resource Center,Trust Fund/ Federal Community-Based Child Abuse Prevention Program,"Parent Education/Child Assessment for 50 children,  home visiting for 30 families, child sexual abuse training for 100 community members and early Intervention Leadership circles for 50 families.",9/1/15-8/31/16,C026958,73500
Cornell Cooperative Extension of Tioga,56 Main Street,Owego,NY,13827,TIOGA,Family Resource Center,Trust Fund/ Federal Community-Based Child Abuse Prevention Program,Parent education and support for 250 families with children aged 0-5 years.,9/1/15-8/31/16,C026964,73500
Crestwood Children's Center,2075 Scottsville Road,Rochester,NY,14623,MONROE,Family Resource Center,Trust Fund/ Federal Community-Based Child Abuse Prevention Program,"Providing parent education, Kinship services and Early Childhood education.",9/1/15-8/31/16,C026960,98000
Crestwood Children's Center,2075 Scottsville Road,Rochester,NY,14623,ROCHESTER,Family Resource Center,Trust Fund/ Federal Community-Based Child Abuse Prevention Program,"Providing parent education, Kinship services and Early Childhood education.",9/1/15-8/31/16,C026960,98000
"Jewish Family Service of Erie County, Inc.",70 Barker Street,Buffalo,NY,14209,ERIE,Child Abuse Prevention,Trust Fund/ Federal Community-Based Child Abuse Prevention Program,"""Ending Child Abuse among Refugees and Immigrant Families Project"" serves resettled refugee and Latino immigrant parents.? This will deliver two segments of Incredible Years Parenting Series (0-3 years and 3-6 years) modified for target population, language and culture.",9/1/15-8/31/16,C026967,73500
Niagara Falls City School District,607 Walnut Avenue,Niagara Falls,NY,14301,NIAGARA,Family Resource Center,Trust Fund/ Federal Community-Based Child Abuse Prevention Program,"Parenting education classes and support for 95 special need families with children 0-7 years at 3 elementary schools, 2 community centers and in homes.",9/1/15-8/31/16,C026959,73500
"Proaction of Steuben and Yates, Inc.",117 East Steuben Street,Bath,NY,14810,STEUBEN,Family Resource Center,Trust Fund/ Federal Community-Based Child Abuse Prevention Program,"Providing home visiting services, parent education, information and referral, and family activities for 220 families.",9/1/15-8/31/16,C026965,73500
Sunset Park Health Council dba Lutheran Family Health Centers,150-55th Street Station 20,Brooklyn,NY,11220,KINGS,Parent Child Home Program,Trust Fund/ Federal Community-Based Child Abuse Prevention Program,"In home parenting program for families with children ages 2-3. Home visits focus on daily literacy, parenting and school wellness.",9/1/15-8/31/16,C026961,73500
"The Family Center, Inc.","315 West 36th Street, 4th Floor",New York,NY,10018,RICHMOND,Parenting Education,Trust Fund/ Federal Community-Based Child Abuse Prevention Program,Triple P (Positive Parenting Program).,9/1/15-8/31/16,C026957,73500
"Westchester Jewish Community Services, Inc./Treatment Center for Trauma and Abuse","845 North Broadway, Suite 2",White Plains,NY,10603,WESTCHESTER,Parenting Education,Trust Fund/ Federal Community-Based Child Abuse Prevention Program,"New program for mothers and children ages 3-6 experiencing domestic violence.? 4-10 week support groups for mothers and children and individualized trauma informed referral intervention services.? Home visits, case management.",9/1/15-8/31/16,C026963,68573
Catholic Charities Of The Diocese Of Albany,100 Slingerlands Street,Albany,NY,12202,SCHENECTADY,Kinship Services,Trust Fund/State Aid to Localities,Identifies and strengthens protective factors needed by kinship caregiver families to reduce risk of child abuse.,9/1/15-8/31/16,C026966,73500
Cornell Cooperative Extension of Tompkins County,615 Willow Avenue,Ithaca,NY,14850,TOMPKINS,Parenting Education,Trust Fund/State Aid to Localities,"Parent education workshops, parent support events, Community Cafes, family activities.",9/1/15-8/31/16,C026947,73500
Edwin Gould Services for Children and Families,1968 2nd Avenue,New York,NY,10029,NEW YORK,Child Abuse Prevention,Trust Fund/State Aid to Localities,Children's Therapy Program addressing trauma symptoms of children who have witnessed domestic violence. ? This uses Child-Parent Psychotherapy for children age 0-5 and Trauma Focused Cognitive Behavior Therapy for clients age 6-13.? Provides case management /support services.,9/1/15-8/31/16,C026952,73500
"Family Services of Westchester, Inc.","One Gateway Plaza, 4th Floor",Port Chester,NY,10573,WESTCHESTER,Elder Abuse Prevention,Trust Fund/State Aid to Localities,Direct support services and case management for the elderly?. Training for the community.,9/1/15-8/31/16,C026953,60000
Inwood House,320 East 82nd Street,New York,NY,10028,NEW YORK,Child Abuse Prevention,Trust Fund/State Aid to Localities,Pregnant and Parenting Teen program.? Uses video taping to provide parenting training by highlighting and reflecting on parenting moments.? Weekly visits for 13 weeks.,9/1/15-8/31/16,C026948,73500
Kaleida Health/Women and Children's Hospital of Buffalo,"Division of Neurology, 219 Bryant Street",Buffalo,NY,14222,FRANKLIN,Abusive Head Trauma/ Shaken Baby Prevention Statewide,Trust Fund/State Aid to Localities,Hospital-based education program to all parents of newborns on Shaken Baby Syndrome (SBS) preventing? Reaches 61 hospitals upstate? Nurse training? Tracking incidences of SBS,6/1/13-5/31/14,C026950,100000
"Lifespan of Greater Rochester, Inc.",1900 S. Clinton Avenue,Rochester,NY,14620,MONROE,Elder Abuse Prevention,Trust Fund/State Aid to Localities,"Lifespan is dedicated to providing information, guidance and services that help older adults take on both the challenges and opportunities of longer life. Lifespan provides more than 30 non-medical services, non-biased information, guidance and education.",9/1/15-8/31/16,C026956,60000
"Orange County Safe Homes Project, Inc.",P. O. Box 649,Newburgh,NY,12551,ORANGE,Child Protective /Domestic Violence Collaboration,Trust Fund/State Aid to Localities,Continuation of CPS/DV collaboration project serving 225 families.,9/1/15-8/31/16,C026951,60000
The Children's Aid Society,105 East 22nd Street,New York,NY,10010,NEW YORK,Domestic Violence Prevention,Trust Fund/State Aid to Localities,Abusive partner intervention and therapeutic visitation services;? Victim support services; child therapy; abusive partner education; family therapy; child-parent psychotherapy; and visitation.,9/1/15-8/31/16,C026955,60000
"Victims Information Bureau of Suffolk, Inc.",P. O. Box 428,Holbrook,NY,11741,SUFFOLK,Elder Abuse Prevention,Trust Fund/State Aid to Localities,Expansion of Elder Abuse Prevention Program to increase number served and to address dementia and language/cultural barriers.,9/1/15-8/31/16,C026954,60000
WMC-NY,100 Woods Road,Valhalla,NY,10595,WESTCHESTER,Abusive Head Trauma/ Shaken Baby Prevention Statewide,Trust Fund/State Aid to Localities,"Hospital-based education program to all parents of newborns on preventing Shaken Baby Syndrome (SBS). ? Reaches 61 hospitals upstate? providing nurse training, and ? tracking incidences of SBS.",6/1/13-5/31/14,C026949,100000
